"District","State","Area_km2","Population"
"Adilabad","Andhra Pradesh","16,105","2,741,239"
"Agra","Uttar Pradesh","4,041","4,418,797"
"Ahmadabad","Gujarat","8,107","7,214,225"
"Ahmadnagar","Maharashtra","17,048","4,543,159"
"Aizawl","Mizoram","3,576","400,309"
"Ajmer","Rajasthan","8,481","2,583,052"
"Akola","Maharashtra","5,676","1,813,906"
"Alappuzha","Kerala","1,415","2,127,789"
"Aligarh","Uttar Pradesh","3,650","3,673,889"
"Alirajpur","Madhya Pradesh","3,182","728,999"
"Allahabad","Uttar Pradesh","5,482","5,954,391"
"Almora","Uttarakhand","3,144","622,506"
"Alwar","Rajasthan","8,380","3,674,179"
"Ambala","Haryana","1,574","1,128,350"
"Ambedkar Nagar","Uttar Pradesh","2,350","2,397,888"
"Amravati","Maharashtra","12,210","2,888,445"
"Amreli","Gujarat","7,397","1,514,190"
"Amritsar","Punjab","2,683","2,490,656"
"Anand","Gujarat","3,204","2,092,745"
"Anantapur","Andhra Pradesh","19,130","4,081,148"
"Anantnag","Jammu and Kashmir","3,574","1,078,692"
"Anjaw","Arunachal Pradesh","6,190","21,167"
"Anugul","Orissa","6,375","1,273,821"
"Anuppur","Madhya Pradesh","3,747","749,237"
"Araria","Bihar","2,830","2,811,569"
"Ariyalur","Tamil Nadu","1,940","754,894"
"Arwal","Bihar","638","700,843"
"Ashoknagar","Madhya Pradesh","4,674","845,071"
"Auraiya","Uttar Pradesh","2,016","1,379,545"
"Aurangabad","Maharashtra","3,305","2,540,073"
"Aurangabad","Maharashtra","10,107","3,701,282"
"Azamgarh","Uttar Pradesh","4,054","4,613,913"
"Badgam","Jammu and Kashmir","1,361","753,745"
"Bagalkot","Karnataka","6,552","1,889,752"
"Bageshwar","Uttarakhand","2,241","259,898"
"Baghpat","Uttar Pradesh","1,321","1,303,048"
"Bahraich","Uttar Pradesh","5,237","3,487,731"
"Baksa","Assam","2,457","950,075"
"Balaghat","Madhya Pradesh","9,229","1,701,698"
"Balangir","Orissa","6,575","1,648,997"
"Baleshwar","Orissa","3,806","2,320,529"
"Ballia","Uttar Pradesh","2,981","3,239,774"
"Balrampur","Uttar Pradesh","3,349","2,148,665"
"Banaskantha","Gujarat","10,743","3,120,506"
"Banda","Uttar Pradesh","4,408","1,799,410"
"Bandipora","Jammu and Kashmir","345","392,232"
"Bangalore","Karnataka","2,196","9,621,551"
"Bangalore Rural","Karnataka","2,298","990,923"
"Banka","Bihar","3,020","2,034,763"
"Bankura","West Bengal","6,882","3,596,674"
"Banswara","Rajasthan","4,522","1,797,485"
"Barabanki","Uttar Pradesh","4,402","3,260,699"
"Baramula","Jammu and Kashmir","4,243","1,008,039"
"Baran","Rajasthan","6,992","1,222,755"
"Barddhaman","West Bengal","7,024","7,717,563"
"Bareilly","Uttar Pradesh","4,120","4,448,359"
"Bargarh","Orissa","5,837","1,481,255"
"Barmer","Rajasthan","28,387","2,603,751"
"Barnala","Punjab","1,482","595,527"
"Barpeta","Assam","2,282","1,693,622"
"Barwani","Madhya Pradesh","5,427","1,385,881"
"Bastar","Chhattisgarh","10,470","1,413,199"
"Basti","Uttar Pradesh","2,688","2,464,464"
"Bathinda","Punjab","3,353","1,388,525"
"Baudh","Orissa","3,098","441,162"
"Begusarai","Bihar","1,918","2,970,541"
"Belgaum","Karnataka","13,433","4,779,661"
"Bellary","Karnataka","8,461","2,452,595"
"Betul","Madhya Pradesh","10,043","1,575,362"
"Bhadrak","Orissa","2,505","1,506,337"
"Bhagalpur","Bihar","2,569","3,037,766"
"Bhandara","Maharashtra","4,087","1,200,334"
"Bharatpur","Rajasthan","5,066","2,548,462"
"Bharuch","Gujarat","6,509","1,551,019"
"Bhavnagar","Gujarat","10,034","2,880,365"
"Bhilwara","Rajasthan","10,455","2,408,523"
"Bhind","Madhya Pradesh","4,459","1,703,005"
"Bhiwani","Haryana","4,778","1,634,445"
"Bhojpur","Bihar","2,395","2,728,407"
"Bhopal","Madhya Pradesh","2,772","2,371,061"
"Bid","Maharashtra","10,693","2,585,049"
"Bidar","Karnataka","5,448","1,703,300"
"Bijapur","Karnataka","8,530","255,230"
"Bijapur","Karnataka","10,498","2,177,331"
"Bijnor","Uttar Pradesh","4,561","3,682,713"
"Bikaner","Rajasthan","30,239","2,363,937"
"Bilaspur","Chhattisgarh","1,167","381,956"
"Bilaspur","Chhattisgarh","8,272","2,663,629"
"Birbhum","West Bengal","4,545","3,502,404"
"Bishnupur","Manipur","496","237,399"
"Bokaro","Jharkhand","2,883","2,062,330"
"Bongaigaon","Assam","1,093","738,804"
"Budaun","Uttar Pradesh","5,168","3,681,896"
"Bulandshahar","Uttar Pradesh","4,512","3,499,171"
"Buldana","Maharashtra","9,661","2,586,258"
"Bundi","Rajasthan","5,776","1,110,906"
"Burhanpur","Madhya Pradesh","3,427","757,847"
"Buxar","Bihar","1,703","1,706,352"
"Cachar","Assam","3,786","1,736,617"
"Central","#N/A","21","582,320"
"Chamarajanagar","Karnataka","5,648","1,020,791"
"Chamba","Himachal Pradesh","6,522","519,080"
"Chamoli","Uttarakhand","8,030","391,605"
"Champawat","Uttarakhand","1,766","259,648"
"Champhai","Mizoram","3,185","125,745"
"Chandauli","Uttar Pradesh","2,541","1,952,756"
"Chandel","Manipur","3,313","144,182"
"Chandigarh","Chandigarh","114","1,055,450"
"Chandrapur","Maharashtra","11,443","2,204,307"
"Changlang","Arunachal Pradesh","4,662","148,226"
"Chatra","Jharkhand","3,718","1,042,886"
"Chennai","Tamil Nadu","175","4,646,732"
"Chhatarpur","#N/A","8,687","1,762,375"
"Chhindwara","Madhya Pradesh","11,815","2,090,922"
"Chikkaballapura","Karnataka","4,244","1,255,104"
"Chikmagalur","Karnataka","7,202","1,137,961"
"Chirang","Assam","1,923","482,162"
"Chitradurga","Karnataka","8,436","1,659,456"
"Chitrakoot","Uttar Pradesh","3,216","991,730"
"Chittaurgarh","Rajasthan","7,822","1,544,338"
"Chittoor","Andhra Pradesh","15,152","4,174,064"
"Churachandpur","Manipur","4,570","274,143"
"Churu","Rajasthan","13,835","2,039,547"
"Coimbatore","Tamil Nadu","4,732","3,458,045"
"Cuddalore","Tamil Nadu","3,703","2,605,914"
"Cuttack","Orissa","3,932","2,624,470"
"Dadra & Nagar Haveli","#N/A","491","343,709"
"Dahod","#N/A","3,642","2,127,086"
"Dakshin Bastar Dantewada","#N/A","8,298","533,638"
"Dakshin Dinajpur","West Bengal","2,219","1,676,276"
"Dakshina Kannada","Karnataka","4,861","2,089,649"
"Daman","Daman and Diu","72","191,173"
"Damoh","Madhya Pradesh","7,306","1,264,219"
"Darbhanga","Bihar","2,279","3,937,385"
"Darjiling","West Bengal","3,149","1,846,823"
"Darrang","Assam","1,585","928,500"
"Datia","Madhya Pradesh","2,902","786,754"
"Dausa","Rajasthan","3,432","1,634,409"
"Davanagere","Karnataka","5,924","1,945,497"
"Debagarh","Orissa","2,940","312,520"
"Dehradun","Uttarakhand","3,088","1,696,694"
"Deoghar","Jharkhand","2,477","1,492,073"
"Deoria","Uttar Pradesh","2,540","3,100,946"
"Dewas","Madhya Pradesh","7,020","1,563,715"
"Dhalai","Tripura","2,400","378,230"
"Dhamtari","Chhattisgarh","4,084","799,781"
"Dhanbad","Jharkhand","2,040","2,684,487"
"Dhar","Madhya Pradesh","8,153","2,185,793"
"Dharmapuri","Tamil Nadu","4,497","1,506,843"
"Dharwad","Karnataka","4,260","1,847,023"
"Dhaulpur","Rajasthan","3,033","1,206,516"
"Dhemaji","Assam","3,237","686,133"
"Dhenkanal","Orissa","4,452","1,192,811"
"Dhubri","Assam","2,176","1,949,258"
"Dhule","Maharashtra","7,195","2,050,862"
"Dibang Valley","Arunachal Pradesh","9,129","8,004"
"Dibrugarh","Assam","3,381","1,326,335"
"Dima Hasao","Assam","4,888","214,102"
"Dimapur","Nagaland","927","378,811"
"Dindigul","Tamil Nadu","6,036","2,159,775"
"Dindori","Madhya Pradesh","7,470","704,524"
